order_week,Month,Year,adStock_Traditional Marketing,adStock_Digital Marketing,adStock_Partnership Marketing,adStock_Other Marketing,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,CoolingPad,GameControlMount,GamePad,GamingAccessoryKit,GamingAdapter,GamingChargingStation,GamingHeadset,GamingKeyboard,GamingMemoryCard,GamingMouse,GamingMousePad,GamingSpeaker,JoystickGamingWheel,MotionController,TVOutCableAccessory
55,1,2016,6.451929766778752,14.047789741585154,6.614669186388756,12.698437500000011,2285386.0,3772,5.899809937550909,2.5938093945153406,2218.8794461037196,612.0428998099376,47.09303132503366,0.46126255769752916,3683,3683,0.0,0.0,0.0,0.0,1.0,1.0,3,0,717,149,58,4,1540,89,365,639,75,10,33,2,88
56,1,2016,5.851893255592918,14.019721580528383,6.001295978796252,13.121718750000012,3466792.0412541134,5170,5.966440271673991,2.7149420695165802,2267.556731921694,676.8779755630718,47.09303132503366,0.4697642828605673,5006,5006,0.0,0.0,3.0,1.0,0.0,0.0,1,0,1314,172,50,3,1822,152,457,926,106,13,24,2,128
57,1,2016,5.551875000000002,14.005687499999999,5.694609374999999,13.333359375000011,2087581.0,3327,6.114391143911439,2.6555965559655594,1472.4366543665437,630.9238929889299,47.09303132503366,0.45274600246002455,3252,3252,0.0,0.0,0.0,0.0,0.0,0.0,1,0,847,114,49,3,1161,106,278,536,79,13,21,4,115
58,2,2016,6.68871109662196,13.562969262295088,8.177324756271737,3.174609375000003,2392524.850916752,4038,5.944571573862191,2.528604118993135,1279.2562929061785,597.9419148021236,50.32740649908032,0.4605263157894737,3933,3933,0.0,0.0,2.0,1.0,1.0,1.0,0,0,866,135,58,2,1599,113,262,719,89,20,14,7,154
59,2,2016,6.878183779392286,13.48918288934427,8.59111065315036,1.4814843750000013,2293901.8002754822,3991,5.670177241202158,2.562291292062677,1586.3647572566144,579.4332049684431,50.32740649908032,0.48648343180066783,3893,3893,1.0,1.0,1.0,1.0,0.0,0.0,0,0,790,134,47,4,1946,92,190,558,74,8,4,13,131
60,2,2016,6.97292012077745,13.45228970286886,8.79800360158967,0.6349218750000005,2944187.8260033275,5619,5.46917183509668,2.731849689894199,1741.0293688434879,527.0260748638271,50.327406499080325,0.5156840569135352,5482,5482,1.0,1.0,3.0,1.0,1.0,1.0,2,0,879,123,48,4,2484,137,304,1362,125,5,1,5,140
61,2,2016,7.020288291470031,13.433843109631155,8.901450075809326,0.2116406250000002,2543453.100348872,4880,6.042767295597485,2.506289308176101,1305.3874213836477,523.9499581444177,50.32740649908032,0.5116771488469601,4770,4770,0.0,0.0,0.0,0.0,0.0,0.0,0,0,860,148,47,1,2635,120,143,652,86,3,10,11,164
62,3,2016,17.205136280194363,11.026760953943025,16.474007931647417,4.783663525552077,2617458.2519998252,4792,5.88957578341505,2.397569814538478,1125.7128544020466,550.1074221794025,49.191882005307946,0.4941782136005116,4691,4691,0.0,0.0,0.0,0.0,1.0,1.0,0,0,904,147,57,2,2555,121,69,673,77,5,12,1,169
63,3,2016,18.898663597424036,10.627117810764812,17.72748036810213,5.580940779810756,3309281.3965125675,5312,5.363601310969732,2.5760555234239444,1227.4289570079043,626.4521596708495,49.02055041461363,0.4892153460574513,5187,5187,0.0,0.0,3.0,1.0,0.0,0.0,0,0,1311,181,76,1,2234,166,34,1002,114,6,10,11,166
64,3,2016,19.745427256038873,10.427296239175705,18.354216586329485,5.979579406940097,2054715.2505629165,3186,5.813564770170363,2.5670202507232402,1193.1710061073609,650.2318388180381,49.02055041461363,0.4305914496946319,3111,3111,1.0,1.0,0.0,0.0,1.0,1.0,0,0,983,212,80,0,898,136,43,550,56,8,32,9,179
65,3,2016,20.16880908534629,10.32738545338115,18.66758469544316,6.178898720504766,1991181.0021336668,3049,5.999327052489906,2.5555181695827724,1218.5386944818304,659.5984188126589,49.02055041461362,0.42930349932705253,2972,2972,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1011,182,88,1,831,117,55,517,40,4,27,7,168
66,4,2016,15.920081233548885,10.562470489545127,15.732647339259,1.494894851735024,2101729.5,3207,5.86784,2.48032,1236.90016,661.19536,50.25924747047889,0.43690239999999997,3125,3125,1.0,1.0,0.0,0.0,1.0,1.0,5,0,948,199,87,2,979,94,48,544,71,7,55,9,159
67,4,2016,15.176678105807035,10.609977227722005,15.217377104135497,0.6976175974763446,2226294.5018397453,3176,6.110895570643389,2.5263498221791143,1313.7882314904623,709.1104108704284,51.82760501909438,0.4320142256708697,3093,3093,1.0,1.0,0.0,0.0,0.0,0.0,0,0,980,186,68,0,925,167,46,522,64,10,59,11,138
68,4,2016,14.804976541936107,10.633730596810441,14.95974198657375,0.2989789703470048,1911753.0,2837,5.9335740072202166,2.5064981949458485,1307.6610108303248,680.3087845968712,51.82760501909438,0.4540469314079423,2770,2770,0.0,0.0,0.0,0.0,1.0,1.0,2,0,870,123,86,0,780,189,17,451,81,11,48,4,175
69,4,2016,14.619125760000644,10.64560728135466,14.830924427792874,0.09965965678233495,1205070.0,1897,4.591256830601093,2.2825136612021857,1259.4590163934427,644.3633879781421,51.82760501909438,0.464983606557377,1830,1830,0.0,0.0,0.0,0.0,0.0,0.0,1,0,471,66,30,0,437,87,27,646,32,1,42,1,56
70,4,2016,14.526200369032912,10.65154562362677,14.766515648402436,0.0,3775768.0,6083,6.39872247436544,2.372499579761304,1297.7818120692552,626.4369641956631,51.45601320456295,0.473688014792402,5949,5949,0.0,0.0,0.0,0.0,1.0,1.0,4,0,1705,294,116,0,2295,190,64,897,112,25,131,17,233
71,5,2016,16.264869135484034,14.581082291339703,17.945837059143443,1.8701250000000034,2280435.0,3527,5.827596181660399,2.3638993346832513,1457.387330054961,650.0740526468036,47.306951226359324,0.4726583743129881,3457,3457,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1016,186,85,0,1254,81,28,542,75,12,121,15,111
72,5,2016,16.55464726322589,15.23600506929186,18.475723960933614,2.181812500000004,2481971.0,4336,5.646502835538753,2.2270793950850662,1294.5640359168242,575.5508034026465,47.306951226359324,0.5105718336483931,4232,4232,1.0,1.0,0.0,0.0,1.0,1.0,1,0,988,181,81,0,1944,112,53,606,81,26,145,11,107
73,5,2016,16.699536327096816,15.563466458267936,18.740667411828696,2.337656250000004,2512250.2502639918,4383,5.631936314680403,2.1261999531725593,1340.6249121985484,579.8554788723933,47.306951226359324,0.5200163896043081,4271,4271,1.0,1.0,0.0,0.0,0.0,0.0,6,0,923,199,106,0,1990,115,59,616,67,32,114,17,139
74,5,2016,16.771980859032276,15.727197152755975,18.87313913727624,2.415578125000004,3597445.326656575,5206,5.280359234673956,1.9672003123779773,1448.771378367825,694.5992437830096,47.306951226359324,0.4929988285825849,5122,5122,0.0,0.0,3.0,1.0,0.0,0.0,3,0,1427,194,76,0,1722,143,76,1131,28,59,180,20,147
75,6,2016,12.015330421953893,7.715859592750554,12.85434415027764,0.584414062500001,2706532.921235198,4162,5.5316424525978825,2.0578675203151935,1301.0137897069687,657.1433353094499,49.60853968229103,0.464902733316917,4061,4061,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1115,218,65,0,1272,122,66,858,58,55,166,6,160
76,6,2016,11.216518304779541,6.366992441542314,11.840172341990579,0.2727265625000005,2406485.0,3700,5.663231197771588,2.1376044568245125,1289.6264623955433,655.7818477251625,50.516687050376724,0.4653816155988858,3590,3590,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1037,195,68,1,1211,134,84,597,65,34,170,8,95
77,6,2016,10.817112246192364,5.692558865938194,11.333086437847047,0.11688281250000021,2258602.0,3498,5.866037179108882,2.1667158453821185,1299.259958689879,651.4074948362348,50.516687050376724,0.46005606373561525,3389,3389,0.0,0.0,0.0,0.0,1.0,1.0,4,0,909,199,65,0,1243,144,53,526,64,6,128,22,135
78,6,2016,10.617409216898775,5.355342078136133,11.079543485775282,0.03896093750000007,1974762.250347705,2976,5.7937391304347825,2.188173913043478,1546.695304347826,670.1440870774626,50.516687050376724,0.43887652173913044,2875,2875,2.0,1.0,0.0,0.0,0.0,0.0,0,0,814,169,55,0,1067,128,25,462,41,6,104,9,96
79,6,2016,10.517557702251981,5.186733684235103,10.9527720097394,0.0,1124340.750293772,1619,5.064968152866242,2.2312101910828024,1684.9522292993631,699.8890129259694,50.51668705037673,0.43270700636942677,1570,1570,0.0,0.0,0.0,0.0,0.0,0.0,0,0,410,103,34,0,549,69,8,264,16,8,86,11,61
