order_week,Month,Year,adStock_TV,adStock_Digital,adStock_Sponsorship,adStock_Content Marketing,adStock_Online marketing,adStock_ Affiliates,adStock_SEM,adStock_Radio,adStock_Other,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,Binoculars,CameraAccessory,CameraBag,CameraBattery,CameraBatteryCharger,CameraBatteryGrip,CameraEyeCup,CameraFilmRolls,CameraHousing,CameraMicrophone,CameraMount,CameraRemoteControl,CameraTripod,ExtensionTube,Filter,Flash,FlashShoeAdapter,Lens,ReflectorUmbrella,Softbox,Strap,Telescope
48,11,2015,2.0773412000995277,0.627769894482766,6.9753383035515775,0.08299914764231253,9.627962375248817,3.2463538518052646,2.57021871326393,0.0,0.0,2291592.001085544,2990,6.49776709034696,2.9257986946066645,1620.3205084163517,772.495706315886,46.99999999999999,0.44829611817244935,2911,2911,0.0,0.0,0.0,0.0,0.0,0.0,232,19,259,697,216,17,0,18,0,0,13,112,526,2,221,266,0,355,0,0,23,14
49,12,2015,2.11385571496349,1.0684770305197597,18.67242043531821,0.33995376162945296,9.043498662408723,2.8210227743678287,3.9662659657183257,0.0,0.0,2492514.0,3269,6.317713214620431,2.8759762574195564,1660.3264604810997,767.7172758512964,45.98106841611996,0.4743423930021868,3201,3201,0.0,0.0,0.0,0.0,1.0,1.0,209,36,265,635,238,9,0,31,0,0,13,127,715,0,253,265,0,425,0,0,26,22
50,12,2015,2.1199414674408166,1.1419282198592589,20.621934123945984,0.38277953062730974,8.94608804360204,2.7501342614615893,4.198940507794059,0.0,0.0,2809645.0,3873,5.995239354668077,2.737371065855594,1697.0568632636869,729.0764348056069,45.8,0.5128087807458345,3781,3781,0.0,0.0,0.0,0.0,0.0,0.0,219,40,284,757,224,10,0,42,0,0,23,104,1185,3,227,273,0,436,0,0,21,25
51,12,2015,2.12298434367948,1.1786538145290082,21.59669096825987,0.40419241512623805,8.8973827341987,2.7146900050084697,4.315277778831925,0.0,0.0,2565185.0,3142,6.784076015727392,2.802752293577982,1662.942005242464,824.4760812581914,45.800000000000004,0.4576114023591088,3052,3052,0.0,0.0,0.0,0.0,1.0,1.0,229,26,322,664,215,4,1,41,0,0,15,81,558,2,185,322,0,408,0,0,29,40
52,12,2015,2.1245057817988124,1.197016611863883,22.084069390416815,0.41489885737570226,8.87303007949703,2.69696787678191,4.373446414350858,0.0,0.0,2875484.0,4070,6.508860759493671,2.8129113924050633,1552.4483544303798,716.0477215189874,45.8,0.5053772151898734,3950,3950,2.0,1.0,3.0,1.0,0.0,0.0,280,35,303,713,206,11,2,36,0,0,15,112,745,4,305,711,0,533,0,0,25,34
53,1,2016,2.148515833537733,0.4581900025074573,6.891133000356022,0.4375600186905797,10.697227083844329,3.403775431587767,2.623221602883412,1.0125000000000002,10.158750000000008,2775015.0,3909,6.165479018210609,2.8057534969648983,1492.3985220374768,714.2755344418052,46.407782736839515,0.46975983108999736,3789,3789,1.0,1.0,6.0,1.0,1.0,1.0,231,41,285,641,232,10,2,44,0,0,20,95,672,3,255,832,0,479,0,0,28,39
54,1,2016,2.152390722317608,0.3335220011701468,4.318362066832811,0.4404446753889373,11.003289305794018,3.5230535347409564,2.3266700813455934,1.1812500000000001,11.85187500000001,2983720.0,5064,5.877925746569814,2.8638014527845037,1330.6101694915253,592.9279661016949,47.09303132503366,0.514729620661824,4956,4956,0.0,0.0,0.0,0.0,0.0,0.0,230,41,265,556,245,3,1,33,0,0,23,87,786,2,226,2036,0,473,0,0,26,31
55,1,2016,2.154328166707546,0.27118800050149156,3.031976600071206,0.44188700373811607,11.156320416768864,3.5826925863175516,2.1783943205766843,1.265625,12.698437500000011,2334128.0,3596,6.648495173197047,2.623793299261783,1423.2183418512209,652.1206700738217,47.09303132503366,0.5095371947756956,3522,3522,0.0,0.0,0.0,0.0,1.0,1.0,179,47,249,451,208,6,2,40,0,0,14,75,578,2,221,1099,0,363,0,0,36,26
56,1,2016,2.155296888902515,0.24002100016716393,2.388783866690403,0.4426081679127055,11.232835972256286,3.6125121121058488,2.1042564401922292,1.3078125000000003,13.121718750000012,3214382.0,4743,6.421382289416846,2.6652267818574513,1411.3246220302376,681.4981641468682,47.09303132503366,0.5066025917926567,4630,4630,0.0,0.0,3.0,1.0,0.0,0.0,215,41,274,593,295,11,1,53,0,2,24,79,424,3,268,1870,0,516,0,0,37,37
57,1,2016,2.1557812499999995,0.22443750000000012,2.067187500000002,0.4429687500000002,11.271093749999995,3.627421874999998,2.067187500000002,1.3289062500000002,13.333359375000011,2442874.0,3268,6.685562167240839,2.6056999686814906,1522.971813341685,753.1531475101785,47.09303132503366,0.466626996554964,3193,3193,0.0,0.0,0.0,0.0,0.0,0.0,240,47,312,604,216,10,0,30,0,0,23,64,373,4,205,641,0,433,0,0,28,38
58,2,2016,1.4830341064331845,0.7706816318926976,4.889270740188775,0.3292578707153503,10.143231107178345,3.2880540160829614,2.319798652508696,0.31640625000000006,3.174609375000003,3086604.0,5277,6.372278382581649,2.7258942457231727,1380.7439735614307,588.6494945567651,50.32740649908032,0.5311372472783826,5144,5144,0.0,0.0,2.0,1.0,1.0,1.0,278,36,331,1000,224,5,1,41,0,0,34,77,565,4,253,1911,0,438,0,0,36,43
59,2,2016,1.3709095825053819,0.8617223205414805,5.359617946886903,0.310306057501242,9.955254000041403,3.231492706263456,2.3619005112601448,0.14765625000000002,1.4814843750000013,2447972.0,3675,6.389716212419219,2.6057881427367238,1481.8524866535545,671.9426805282383,50.327406499080325,0.4759932565327339,3559,3559,1.0,1.0,1.0,1.0,0.0,0.0,209,49,295,859,199,2,1,39,0,1,24,86,484,6,242,710,0,389,0,0,42,38
60,2,2016,1.3148473205414808,0.907242664865872,5.594791550235968,0.30083015089418785,9.861265446472931,3.2032120513537023,2.3829514406358694,0.06328125000000001,0.6349218750000005,3525860.0,6076,6.301689189189189,2.696283783783784,1289.0839527027026,583.2058783783783,50.32740649908031,0.49075506756756754,5920,5920,1.0,1.0,3.0,1.0,1.0,1.0,235,59,300,1528,644,4,3,49,0,2,52,136,762,0,225,1586,0,429,0,0,33,29
61,2,2016,1.28681618955953,0.9300028370280677,5.7123783519105,0.29609219759066074,9.814271169688697,3.1890717238988264,2.393476905323732,0.02109375,0.2116406250000002,3020468.0,5469,6.329411764705882,2.326797385620915,1366.7566760037348,555.4046685340803,50.32740649908032,0.5475014005602241,5355,5355,0.0,0.0,0.0,0.0,0.0,0.0,264,56,313,834,304,3,5,39,0,6,51,131,755,3,211,2030,0,378,0,1,42,43
62,3,2016,3.0930477676353707,0.8541387912164686,13.851088512558992,0.180934100223547,7.862482157989202,2.6229194190884266,2.1292059045138068,0.261,4.783663525552077,2830517.002739851,4979,6.140139116202946,2.5374386252045826,1260.754705400982,570.669701496171,49.225882958163226,0.4987295417348609,4888,4888,0.0,0.0,0.0,0.0,1.0,1.0,214,50,276,973,533,8,1,28,0,6,45,118,571,4,259,1410,1,392,0,0,46,44
63,3,2016,3.396422291563173,0.8395981025676857,15.197741305860863,0.16213591343765532,7.541100179104639,2.5297390622412665,2.0842836156548312,0.3045,5.580940779810756,3331554.0,5498,6.120967741935484,2.5001875468867216,1397.8229557389348,611.9072580645161,49.02055041461363,0.5212678169542386,5332,5332,0.0,0.0,3.0,1.0,0.0,0.0,244,42,347,1145,472,3,1,38,0,5,39,134,622,5,325,1519,0,467,1,0,42,47
64,3,2016,3.548109553527074,0.8323277582432943,15.871067702511798,0.15273682004470945,7.380409189662357,2.4831488838176865,2.0618224712253435,0.32625,5.979579406940097,2606598.0,4378,6.081490104772992,2.4114086146682188,1467.437019790454,596.3726426076834,49.02055041461363,0.549708963911525,4295,4295,1.0,1.0,0.0,0.0,1.0,1.0,222,24,272,672,279,10,4,41,0,1,25,100,554,5,228,1495,0,367,3,0,35,41
65,3,2016,3.6239531845090247,0.8286925860810986,16.207730900837266,0.14803727334823652,7.300063694941216,2.4598537946058965,2.050591899010599,0.337125,6.178898720504766,2670421.0,4660,5.822859645281366,2.4707685570396323,1273.2890299978103,577.0536457192906,49.02055041461363,0.5053689511714473,4567,4567,0.0,0.0,0.0,0.0,0.0,0.0,196,29,280,1103,498,5,2,39,0,6,31,101,486,3,175,1287,0,326,0,0,43,50
66,4,2016,2.8238235956953273,0.5238345637680618,13.014695137853558,0.047765882550722484,7.921486561040538,2.717952201405442,2.069383482185806,0.0815625,1.494894851735024,3004207.00478372,5240,5.69712385051849,2.453531598513011,1280.9845431422423,576.6411831509793,50.43918121942165,0.5185247505380551,5111,5111,1.0,1.0,0.0,0.0,1.0,1.0,248,21,318,1140,589,4,3,48,0,7,14,117,561,2,234,1449,0,411,0,1,31,42
67,4,2016,2.6841483616445485,0.473327824396072,12.454467244162483,0.03144561297584288,8.031752496617187,2.7629098599730155,2.0734512937329024,0.0380625,0.6976175974763446,3125518.0,5230,5.98033106134372,2.4075949367088607,1453.5941577409933,599.9555988315482,51.82760501909438,0.5499162609542356,5135,5135,1.0,1.0,0.0,0.0,0.0,0.0,513,25,317,796,353,5,3,44,0,5,27,88,738,3,188,1568,0,473,0,0,38,46
68,4,2016,2.614310744619159,0.4480744547100771,12.174353297316948,0.023285478188403083,8.086885464405512,2.785388689256802,2.075485199506451,0.0163125,0.2989789703470048,2322998.0,4211,5.789001937984496,2.436046511627907,1336.3994670542636,552.156734496124,51.82760501909438,0.5453149224806202,4128,4128,0.0,0.0,0.0,0.0,1.0,1.0,219,27,273,697,276,7,2,49,0,2,27,70,440,6,192,1316,0,527,0,0,44,37
69,4,2016,2.5793919361064646,0.43544776986707967,12.034296323894178,0.019205410794683183,8.114451948299674,2.7966281038986955,2.0765021523932248,0.0054375,0.09965965678233495,1440847.0,2361,4.782608695652174,2.514421007318123,1473.9991390443392,612.574687903573,51.82760501909438,0.5485320705983642,2323,2323,0.0,0.0,0.0,0.0,0.0,0.0,181,15,191,328,162,1,3,32,0,1,6,40,315,1,125,657,1,261,0,1,29,11
70,4,2016,2.5619325318501174,0.42913442744558095,11.964267837182796,0.017165377097823235,8.128235190246755,2.802247811219642,2.0770106288366117,0.0,0.0,5178385.0,8541,6.407907310081223,2.5531533683707597,1477.7483277591973,610.0341614906832,51.46690306812125,0.5594756330625896,8372,8372,0.0,0.0,0.0,0.0,1.0,1.0,513,40,640,1338,656,10,10,79,2,3,38,151,1047,3,435,2578,0,847,0,1,73,77
71,5,2016,1.1237339361547898,0.3909248636775191,14.728635199329243,0.300336994547101,10.804044092915891,3.2172018598142014,3.0857763401991916,0.41250000000000003,1.8701250000000034,3074776.0,5759,5.814002828854314,2.3647454031117396,1394.5875176803395,535.6628359264498,47.306951226359324,0.58995756718529,5656,5656,0.0,0.0,0.0,0.0,0.0,0.0,302,27,427,762,387,2,3,61,1,2,21,103,638,0,230,2151,0,526,0,4,46,66
72,5,2016,0.8840341702055686,0.3845566030495088,15.189363093020319,0.3475322641219806,11.250012243360748,3.2863608679132943,3.2539039587596212,0.48125000000000007,2.181812500000004,3116547.0,5577,5.7300860648232925,2.400292986632485,1423.689434169566,560.6784471708478,47.306951226359324,0.580474272111335,5461,5461,1.0,1.0,0.0,0.0,1.0,1.0,291,35,440,738,380,7,7,79,1,1,11,91,615,0,232,1944,0,598,0,1,55,51
73,5,2016,0.7641842872309579,0.38137247273550356,15.419727039865855,0.37112989890942044,11.472996318583178,3.320940371962841,3.337967768039836,0.515625,2.337656250000004,2870045.0,4975,5.519761218608481,2.4845615479621244,1398.32606010704,578.6749691230959,47.306951226359324,0.5604363935776039,4858,4858,1.0,1.0,0.0,0.0,0.0,0.0,268,38,430,758,390,3,1,89,1,0,17,108,423,0,208,1591,0,556,0,2,43,49
74,5,2016,0.7042593457436527,0.379780407578501,15.534909013288623,0.38292871630314035,11.584488356194392,3.338230123987614,3.3799996726799435,0.5328125000000001,2.415578125000004,3461661.0,6112,5.627470686767169,2.3651591289782243,1407.2832495812395,568.1664154103853,47.306951226359324,0.5682931323283082,5970,5970,0.0,0.0,3.0,1.0,0.0,0.0,427,33,531,815,418,3,5,107,5,1,19,116,499,0,279,2003,0,733,0,1,48,69
75,6,2016,0.6593619399049895,0.5164625269692672,11.227062232048903,0.10610231256341984,5.162874334865582,1.627281918228737,1.930420418352284,0.12890625000000003,0.584414062500001,2629760.0,5071,5.956154465004023,2.3819388576025746,1284.6852373290426,520.1482300884956,49.605798625660604,0.5680370072405471,4972,4972,0.0,0.0,0.0,0.0,1.0,1.0,262,31,388,684,329,3,2,109,2,0,10,108,325,0,240,1795,0,698,0,0,42,43
76,6,2016,0.6568727840558211,0.5393755522974785,10.499489270723718,0.05898134382398977,4.083314328176513,1.3406830712668596,1.6853212172443317,0.06015625000000001,0.2727265625000005,2780194.0,5367,5.769481765834933,2.352975047984645,1308.6124760076775,519.3147792706334,50.516687050376724,0.5831535508637236,5210,5210,0.0,0.0,0.0,0.0,0.0,0.0,241,40,352,662,307,4,10,119,2,0,2,89,227,1,218,2309,0,685,0,1,35,63
77,6,2016,0.6556282061312368,0.5508320649615841,10.135702790061128,0.03542085945427473,3.5435343248319784,1.1973836477859208,1.5627716166903556,0.025781250000000002,0.11688281250000021,2477777.0,4450,5.750231267345051,2.5090194264569843,1294.1059204440332,560.9854301572618,50.516687050376724,0.548327937095282,4324,4324,0.0,0.0,0.0,0.0,1.0,1.0,203,36,365,608,303,4,12,82,2,0,5,67,249,0,208,1434,0,785,0,1,42,44
78,6,2016,0.6550059171689447,0.5565603212936369,9.953809549729831,0.023640617269417213,3.2736443231597114,1.1257339360454515,1.5014968164133675,0.00859375,0.03896093750000007,2035712.0,3194,6.186023940472339,2.53607246845681,1363.2850210287934,645.9670009705596,50.516687050376724,0.5102426399223553,3091,3091,2.0,1.0,0.0,0.0,0.0,0.0,176,37,317,479,221,2,4,53,2,1,8,82,173,0,187,861,0,507,0,0,40,44
79,6,2016,0.6546947726877987,0.5594244494596633,9.862862929564184,0.017750496176988456,3.1386993223235775,1.0899090801752167,1.4708594162748736,0.0,0.0,1114576.0,1840,5.67578125,2.5558035714285716,1333.0652901785713,605.6166294642857,50.516687050376724,0.5170256696428571,1792,1792,0.0,0.0,0.0,0.0,0.0,0.0,112,22,196,253,151,2,4,39,1,0,4,22,88,0,109,520,0,280,0,1,20,16
