order_week,Month,Year,adStock_TV,adStock_Digital,adStock_Sponsorship,adStock_Content Marketing,adStock_Online marketing,adStock_ Affiliates,adStock_SEM,adStock_Radio,adStock_Other,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,BoomBox,DJController,Dock,DockingStation,FMRadio,HiFiSystem,HomeAudioSpeaker,SlingBox,SoundMixer,VoiceRecorder
64,3,2016,3.548109553527074,0.8323277582432943,15.871067702511798,0.15273682004470945,7.380409189662357,2.4831488838176865,2.0618224712253435,0.32625,5.979579406940097,4001421.0,2104,5.358337314859054,2.559961777353082,3357.2938365981845,1907.7262302914478,49.02055041461363,0.3834352603917821,2093,2093,1.0,1.0,0.0,0.0,1.0,1.0,19,0,30,12,443,18,1504,0,0,78
65,3,2016,3.6239531845090247,0.8286925860810986,16.207730900837266,0.14803727334823652,7.300063694941216,2.4598537946058965,2.050591899010599,0.337125,6.178898720504766,3015944.0,1746,5.638840579710145,2.5959420289855073,3015.2776811594204,1738.9571014492753,49.02055041461363,0.3771072463768116,1725,1725,0.0,0.0,0.0,0.0,0.0,0.0,20,0,22,5,443,25,1150,0,0,81
66,4,2016,2.8238235956953273,0.5238345637680618,13.014695137853558,0.047765882550722484,7.921486561040538,2.717952201405442,2.069383482185806,0.0815625,1.494894851735024,3050352.0,1655,5.430572472594397,2.6814859926918393,3266.0694275274054,1851.4683313032888,50.17961437432006,0.3831546894031669,1642,1642,1.0,1.0,0.0,0.0,1.0,1.0,30,0,21,10,381,15,1105,0,0,93
67,4,2016,2.6841483616445485,0.473327824396072,12.454467244162483,0.03144561297584288,8.031752496617187,2.7629098599730155,2.0734512937329024,0.0380625,0.6976175974763446,2775591.0,1518,5.815598149372108,2.6986120290812954,3146.3198942498348,1832.2828816920025,51.82760501909438,0.3728354263053536,1513,1513,1.0,1.0,0.0,0.0,0.0,0.0,26,0,32,13,384,29,940,1,0,93
68,4,2016,2.614310744619159,0.4480744547100771,12.174353297316948,0.023285478188403083,8.086885464405512,2.785388689256802,2.075485199506451,0.0163125,0.2989789703470048,2250700.0,1232,5.672442244224422,2.5717821782178216,3241.2194719471945,1845.6831683168316,51.82760501909438,0.393523102310231,1212,1212,0.0,0.0,0.0,0.0,1.0,1.0,22,0,31,14,295,30,774,0,0,66
69,4,2016,2.5793919361064646,0.43544776986707967,12.034296323894178,0.019205410794683183,8.114451948299674,2.7966281038986955,2.0765021523932248,0.0054375,0.09965965678233495,1360734.0,646,4.5828125,2.7671875,3655.86875,2118.5109375,51.82760501909438,0.373328125,640,640,0.0,0.0,0.0,0.0,0.0,0.0,12,0,16,6,111,11,445,0,0,45
70,4,2016,2.5619325318501174,0.42913442744558095,11.964267837182796,0.017165377097823235,8.128235190246755,2.802247811219642,2.0770106288366117,0.0,0.0,4981552.0,2708,5.940193164933135,2.6589895988112926,3280.0352897474,1845.6188707280833,51.448085049867736,0.4019910846953938,2692,2692,0.0,0.0,0.0,0.0,1.0,1.0,39,0,80,27,591,47,1763,0,0,161
71,5,2016,1.1237339361547898,0.3909248636775191,14.728635199329243,0.300336994547101,10.804044092915891,3.2172018598142014,3.0857763401991916,0.41250000000000003,1.8701250000000034,3132154.0,1705,5.122641509433962,2.5170990566037736,3225.8620283018868,1843.8295990566037,47.306951226359324,0.39344339622641505,1696,1696,0.0,0.0,0.0,0.0,0.0,0.0,19,0,18,14,393,22,1162,0,0,77
72,5,2016,0.8840341702055686,0.3845566030495088,15.189363093020319,0.3475322641219806,11.250012243360748,3.2863608679132943,3.2539039587596212,0.48125000000000007,2.181812500000004,2897329.0,1560,5.048355899419729,2.600902643455835,3356.0135396518376,1864.9432624113474,47.30695122635933,0.4098323662153449,1551,1551,1.0,1.0,0.0,0.0,1.0,1.0,27,0,3,19,340,14,1056,0,4,97
73,5,2016,0.7641842872309579,0.38137247273550356,15.419727039865855,0.37112989890942044,11.472996318583178,3.320940371962841,3.337967768039836,0.515625,2.337656250000004,2628662.0,1395,5.0050359712230215,2.639568345323741,3324.711510791367,1888.803597122302,47.306951226359324,0.3946978417266187,1390,1390,1.0,1.0,0.0,0.0,0.0,0.0,24,0,1,16,292,11,945,0,2,104
74,5,2016,0.7042593457436527,0.379780407578501,15.534909013288623,0.38292871630314035,11.584488356194392,3.338230123987614,3.3799996726799435,0.5328125000000001,2.415578125000004,3260574.0,1602,4.264984227129338,2.5249211356466876,3581.354574132492,2050.5854889589905,47.306951226359324,0.3916782334384858,1585,1585,0.0,0.0,3.0,1.0,0.0,0.0,32,0,6,17,170,19,1322,0,1,35
75,6,2016,0.6593619399049895,0.5164625269692672,11.227062232048903,0.10610231256341984,5.162874334865582,1.627281918228737,1.930420418352284,0.12890625000000003,0.584414062500001,2972206.0,1465,5.005468215994532,2.650717703349282,3429.7347915242653,2030.80997949419,49.70273490361633,0.3676691729323308,1463,1463,0.0,0.0,0.0,0.0,1.0,1.0,26,2,16,16,276,17,1054,0,1,57
76,6,2016,0.6568727840558211,0.5393755522974785,10.499489270723718,0.05898134382398977,4.083314328176513,1.3406830712668596,1.6853212172443317,0.06015625000000001,0.2727265625000005,2947919.0,1554,5.567444876783398,2.5901426718547342,3164.429961089494,1905.2730220492867,50.516687050376724,0.3494487678339819,1542,1542,0.0,0.0,0.0,0.0,0.0,0.0,14,0,14,19,415,13,963,0,3,113
77,6,2016,0.6556282061312368,0.5508320649615841,10.135702790061128,0.03542085945427473,3.5435343248319784,1.1973836477859208,1.5627716166903556,0.025781250000000002,0.11688281250000021,2964861.0,1498,4.951186440677966,2.7166101694915255,3210.019661016949,1997.733559322034,50.516687050376724,0.33299661016949156,1475,1475,0.0,0.0,0.0,0.0,1.0,1.0,37,0,16,11,360,7,967,0,2,98
78,6,2016,0.6550059171689447,0.5565603212936369,9.953809549729831,0.023640617269417213,3.2736443231597114,1.1257339360454515,1.5014968164133675,0.00859375,0.03896093750000007,2594233.0,1230,4.174161896974653,2.5461978740801308,3558.709730171709,2117.751430907604,50.516687050376724,0.3506868356500409,1223,1223,2.0,1.0,0.0,0.0,0.0,0.0,77,0,9,14,177,8,901,0,0,44
79,6,2016,0.6546947726877987,0.5594244494596633,9.862862929564184,0.017750496176988456,3.1386993223235775,1.0899090801752167,1.4708594162748736,0.0,0.0,1356875.0,642,3.9293563579277864,2.5698587127158556,3538.703296703297,2126.4395604395604,50.516687050376724,0.3482574568288854,637,637,0.0,0.0,0.0,0.0,0.0,0.0,31,1,3,8,87,5,482,0,0,25
