order_week,Month,Year,adStock_Traditional Marketing,adStock_Digital Marketing,adStock_Partnership Marketing,adStock_Other Marketing,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,Binoculars,CameraAccessory,CameraBag,CameraBattery,CameraBatteryCharger,CameraBatteryGrip,CameraEyeCup,CameraFilmRolls,CameraHousing,CameraMicrophone,CameraMount,CameraRemoteControl,CameraTripod,ExtensionTube,Filter,Flash,FlashShoeAdapter,Lens,ReflectorUmbrella,Softbox,Strap,Telescope
58,2,2016,6.68871109662196,13.562969262295088,8.177324756271737,3.174609375000003,3086604.0,5277,6.372278382581649,2.7258942457231727,1380.7439735614307,588.6494945567651,50.32740649908032,0.5311372472783826,5144,5144,0.0,0.0,2.0,1.0,1.0,1.0,278,36,331,1000,224,5,1,41,0,0,34,77,565,4,253,1911,0,438,0,0,36,43
59,2,2016,6.878183779392286,13.48918288934427,8.59111065315036,1.4814843750000013,2447972.0,3675,6.389716212419219,2.6057881427367238,1481.8524866535545,671.9426805282383,50.327406499080325,0.4759932565327339,3559,3559,1.0,1.0,1.0,1.0,0.0,0.0,209,49,295,859,199,2,1,39,0,1,24,86,484,6,242,710,0,389,0,0,42,38
60,2,2016,6.97292012077745,13.45228970286886,8.79800360158967,0.6349218750000005,3525860.0,6076,6.301689189189189,2.696283783783784,1289.0839527027026,583.2058783783783,50.32740649908031,0.49075506756756754,5920,5920,1.0,1.0,3.0,1.0,1.0,1.0,235,59,300,1528,644,4,3,49,0,2,52,136,762,0,225,1586,0,429,0,0,33,29
61,2,2016,7.020288291470031,13.433843109631155,8.901450075809326,0.2116406250000002,3020468.0,5469,6.329411764705882,2.326797385620915,1366.7566760037348,555.4046685340803,50.32740649908032,0.5475014005602241,5355,5355,0.0,0.0,0.0,0.0,0.0,0.0,264,56,313,834,304,3,5,39,0,6,51,131,755,3,211,2030,0,378,0,1,42,43
62,3,2016,17.205136280194363,11.026760953943025,16.474007931647417,4.783663525552077,2830517.002739851,4979,6.140139116202946,2.5374386252045826,1260.754705400982,570.669701496171,49.225882958163226,0.4987295417348609,4888,4888,0.0,0.0,0.0,0.0,1.0,1.0,214,50,276,973,533,8,1,28,0,6,45,118,571,4,259,1410,1,392,0,0,46,44
63,3,2016,18.898663597424036,10.627117810764812,17.72748036810213,5.580940779810756,3331554.0,5498,6.120967741935484,2.5001875468867216,1397.8229557389348,611.9072580645161,49.02055041461363,0.5212678169542386,5332,5332,0.0,0.0,3.0,1.0,0.0,0.0,244,42,347,1145,472,3,1,38,0,5,39,134,622,5,325,1519,0,467,1,0,42,47
64,3,2016,19.745427256038873,10.427296239175705,18.354216586329485,5.979579406940097,2606598.0,4378,6.081490104772992,2.4114086146682188,1467.437019790454,596.3726426076834,49.02055041461363,0.549708963911525,4295,4295,1.0,1.0,0.0,0.0,1.0,1.0,222,24,272,672,279,10,4,41,0,1,25,100,554,5,228,1495,0,367,3,0,35,41
65,3,2016,20.16880908534629,10.32738545338115,18.66758469544316,6.178898720504766,2670421.0,4660,5.822859645281366,2.4707685570396323,1273.2890299978103,577.0536457192906,49.02055041461363,0.5053689511714473,4567,4567,0.0,0.0,0.0,0.0,0.0,0.0,196,29,280,1103,498,5,2,39,0,6,31,101,486,3,175,1287,0,326,0,0,43,50
66,4,2016,15.920081233548885,10.562470489545127,15.732647339259,1.494894851735024,3004207.00478372,5240,5.69712385051849,2.453531598513011,1280.9845431422423,576.6411831509793,50.43918121942165,0.5185247505380551,5111,5111,1.0,1.0,0.0,0.0,1.0,1.0,248,21,318,1140,589,4,3,48,0,7,14,117,561,2,234,1449,0,411,0,1,31,42
67,4,2016,15.176678105807035,10.609977227722005,15.217377104135497,0.6976175974763446,3125518.0,5230,5.98033106134372,2.4075949367088607,1453.5941577409933,599.9555988315482,51.82760501909438,0.5499162609542356,5135,5135,1.0,1.0,0.0,0.0,0.0,0.0,513,25,317,796,353,5,3,44,0,5,27,88,738,3,188,1568,0,473,0,0,38,46
68,4,2016,14.804976541936107,10.633730596810441,14.95974198657375,0.2989789703470048,2322998.0,4211,5.789001937984496,2.436046511627907,1336.3994670542636,552.156734496124,51.82760501909438,0.5453149224806202,4128,4128,0.0,0.0,0.0,0.0,1.0,1.0,219,27,273,697,276,7,2,49,0,2,27,70,440,6,192,1316,0,527,0,0,44,37
69,4,2016,14.619125760000644,10.64560728135466,14.830924427792874,0.09965965678233495,1440847.0,2361,4.782608695652174,2.514421007318123,1473.9991390443392,612.574687903573,51.82760501909438,0.5485320705983642,2323,2323,0.0,0.0,0.0,0.0,0.0,0.0,181,15,191,328,162,1,3,32,0,1,6,40,315,1,125,657,1,261,0,1,29,11
70,4,2016,14.526200369032912,10.65154562362677,14.766515648402436,0.0,5178385.0,8541,6.407907310081223,2.5531533683707597,1477.7483277591973,610.0341614906832,51.46690306812125,0.5594756330625896,8372,8372,0.0,0.0,0.0,0.0,1.0,1.0,513,40,640,1338,656,10,10,79,2,3,38,151,1047,3,435,2578,0,847,0,1,73,77
71,5,2016,16.264869135484034,14.581082291339703,17.945837059143443,1.8701250000000034,3074776.0,5759,5.814002828854314,2.3647454031117396,1394.5875176803395,535.6628359264498,47.306951226359324,0.58995756718529,5656,5656,0.0,0.0,0.0,0.0,0.0,0.0,302,27,427,762,387,2,3,61,1,2,21,103,638,0,230,2151,0,526,0,4,46,66
72,5,2016,16.55464726322589,15.23600506929186,18.475723960933614,2.181812500000004,3116547.0,5577,5.7300860648232925,2.400292986632485,1423.689434169566,560.6784471708478,47.306951226359324,0.580474272111335,5461,5461,1.0,1.0,0.0,0.0,1.0,1.0,291,35,440,738,380,7,7,79,1,1,11,91,615,0,232,1944,0,598,0,1,55,51
73,5,2016,16.699536327096816,15.563466458267936,18.740667411828696,2.337656250000004,2870045.0,4975,5.519761218608481,2.4845615479621244,1398.32606010704,578.6749691230959,47.306951226359324,0.5604363935776039,4858,4858,1.0,1.0,0.0,0.0,0.0,0.0,268,38,430,758,390,3,1,89,1,0,17,108,423,0,208,1591,0,556,0,2,43,49
74,5,2016,16.771980859032276,15.727197152755975,18.87313913727624,2.415578125000004,3461661.0,6112,5.627470686767169,2.3651591289782243,1407.2832495812395,568.1664154103853,47.306951226359324,0.5682931323283082,5970,5970,0.0,0.0,3.0,1.0,0.0,0.0,427,33,531,815,418,3,5,107,5,1,19,116,499,0,279,2003,0,733,0,1,48,69
75,6,2016,12.015330421953893,7.715859592750554,12.85434415027764,0.584414062500001,2629760.0,5071,5.956154465004023,2.3819388576025746,1284.6852373290426,520.1482300884956,49.605798625660604,0.5680370072405471,4972,4972,0.0,0.0,0.0,0.0,1.0,1.0,262,31,388,684,329,3,2,109,2,0,10,108,325,0,240,1795,0,698,0,0,42,43
76,6,2016,11.216518304779541,6.366992441542314,11.840172341990579,0.2727265625000005,2780194.0,5367,5.769481765834933,2.352975047984645,1308.6124760076775,519.3147792706334,50.516687050376724,0.5831535508637236,5210,5210,0.0,0.0,0.0,0.0,0.0,0.0,241,40,352,662,307,4,10,119,2,0,2,89,227,1,218,2309,0,685,0,1,35,63
77,6,2016,10.817112246192364,5.692558865938194,11.333086437847047,0.11688281250000021,2477777.0,4450,5.750231267345051,2.5090194264569843,1294.1059204440332,560.9854301572618,50.516687050376724,0.548327937095282,4324,4324,0.0,0.0,0.0,0.0,1.0,1.0,203,36,365,608,303,4,12,82,2,0,5,67,249,0,208,1434,0,785,0,1,42,44
78,6,2016,10.617409216898775,5.355342078136133,11.079543485775282,0.03896093750000007,2035712.0,3194,6.186023940472339,2.53607246845681,1363.2850210287934,645.9670009705596,50.516687050376724,0.5102426399223553,3091,3091,2.0,1.0,0.0,0.0,0.0,0.0,176,37,317,479,221,2,4,53,2,1,8,82,173,0,187,861,0,507,0,0,40,44
79,6,2016,10.517557702251981,5.186733684235103,10.9527720097394,0.0,1114576.0,1840,5.67578125,2.5558035714285716,1333.0652901785713,605.6166294642857,50.516687050376724,0.5170256696428571,1792,1792,0.0,0.0,0.0,0.0,0.0,0.0,112,22,196,253,151,2,4,39,1,0,4,22,88,0,109,520,0,280,0,1,20,16
